Re 10 kHz,Im 10 kHz
21.902654867256643,-2.1867256637168495
10.39823008849558,-1.640707964601802
8.628318584070826,0.2663716814158903
-0.8849557522123632,-0.5955752212389669
1.3274336283186017,-0.6044247787610928
-1.9911504424778457,-0.4911504424779096
0,0.9008849557521827
-1.1061946902654824,-3.6946902654867557
0.8849557522123916,-2.9026548672566648
4.424778761061958,-1.2168141592920705
-8.849557522123888,-0.3637168141593179
-3.539823008849538,-0.38495575221242007
-5.530973451327441,-3.5769911504425096
-8.628318584070769,-3.1646017699115276
-13.053097345132727,-3.8469026548672858
-9.95575221238937,-4.959292035398256
-6.637168141592923,-5.972566371681445
-12.831858407079636,-5.9477876106195
-16.592920353982294,-5.332743362831884
-15.265486725663706,-6.938053097345161
-9.070796460176979,-7.6628318584071025
-11.725663716814154,-8.152212389380558
-5.309734513274321,-8.077876106194722
-9.513274336283189,-9.961061946902674
-13.938053097345119,-9.043362831858438
-16.814159292035384,-8.631858407079669
-19.026548672566364,-7.023008849557542
-21.68141592920354,-9.312389380530995
-24.115044247787594,-8.10265486725666
-27.433628318584056,-8.089380530973472
-27.212389380530965,-9.790265486725687
-22.123893805309734,-11.31061946902657
-18.805309734513273,-11.423893805309753
-16.150442477876098,-11.434513274336304
-12.831858407079636,-11.447787610619493
-8.849557522123888,-10.963716814159312
-12.831858407079636,-12.647787610619496
-17.920353982300867,-14.427433628318603
-22.123893805309734,-13.010619469026572
-26.106194690265482,-11.79469026548675
-21.68141592920354,-10.612389380530992
-26.327433628318573,-14.293805309734537
-23.00884955752211,-15.00707964601773
-23.00884955752211,-16.50707964601773
-27.65486725663716,-16.888495575221256
-34.292035398230084,-16.461946902654894
-32.30088495575221,-14.269911504424797
-34.95575221238937,-12.05929203539825
-42.92035398230087,-15.327433628318595
-45.132743362831846,-15.918584070796484
-51.76991150442477,-19.392035398230107
-50.442477876106196,-23.497345132743376
-47.566371681415916,-22.40884955752213
-48.45132743362831,-25.40530973451328
-47.345132743362825,-26.409734513274344
-46.46017699115043,-28.51327433628319
-41.592920353982294,-27.032743362831873
-45.35398230088495,-26.017699115044266
-41.592920353982294,-24.232743362831876
-34.95575221238937,-22.759292035398254
-30.973451327433622,-22.47522123893806
